// DO NOT EDIT: This file was automatically generated by Chronomage.py

new entry "Chronomage_Interrupt_PrecisionAttack"
type "InterruptData"
data "Conditions" "Self(context.Source,context.Observer) and not Dead(context.Observer) and HasInterruptedAttack() and not AnyEntityIsItem() and (not IsBattleMasterManeuver() or HasActionResource('SuperiorityDie',2,0,false,false,context.Source)) and ((not CharacterLevelGreaterThan(9) and IsFlatValueInterruptInteresting(8,context.Source)) or (CharacterLevelGreaterThan(9) and IsFlatValueInterruptInteresting(10,context.Source)))"
data "Container" "YesNoDecision"
data "Cost" "SuperiorityDie:1"
data "Description" "hdce549b8g8273g7134g7653gb0c6124b1777"
data "DisplayName" "he503a8d2g29f7g7782ge2acgae4cea45e87a"
data "EnableCondition" "not HasStatus('SG_Polymorph') or HasAnyStatus({'SG_Disguise','WILDSHAPE_STARRY_ARCHER_PLAYER','WILDSHAPE_STARRY_CHALICE_PLAYER','WILDSHAPE_STARRY_DRAGON_PLAYER'})"
data "EnableContext" "OnStatusApplied;OnStatusRemoved"
data "Icon" "Action_PrecisionAttack"
data "InterruptContext" "OnPostRoll"
data "InterruptContextScope" "Self"
data "InterruptDefaultValue" "Ask;Enabled"
data "Properties" "AdjustRoll(OBSERVER_OBSERVER,LevelMapValue(SuperiorityDie))"
